id,object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at,material_zh,type_zh,description_zh
3484,11,碟子,Saucer,1662-1722,27.0,Containers,Porcelain with underglaze and overglaze enamel,Porcelain with underglaze and overglaze enamel,1 5/16 x 6 9/16 inches (3.4 x 16.7 cm),3,,https://www.philamuseum.org/collection/object/37606,"https://iiif.micr.io/juvGN/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37606,2026-06-01,,2026-06-01,2026-06-01,釉下釉上釉瓷器,容器,釉下釉上釉瓷器
4226,12,碗（万）,Bowl (Wan),1736-1795,27.0,Containers,Porcelain with underglaze and overglaze enamel decoration,Porcelain with underglaze and overglaze enamel decoration,2 1/2 x 5 inches (6.4 x 12.7 cm),3,,https://www.philamuseum.org/collection/object/37610,"https://iiif.micr.io/ahCHd/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37610,2026-06-01,,2026-06-01,2026-06-01,釉下和釉上瓷釉装饰瓷器,容器,釉下和釉上瓷釉装饰瓷器
3828,13,杯子,Cup,1821-1850,27.0,Containers,Porcelain with overglaze enamel decoration,"This wine cup is decorated with a summer motif of a dragonfly, a butterfly, and a grasshopper amid the thick green foliage of white-stemmed vegetables.",1 7/16 x 2 5/8 inches (3.7 x 6.6 cm),3,,https://www.philamuseum.org/collection/object/37614,"https://iiif.micr.io/sbxaq/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37614,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,这款酒杯以蜻蜓、蝴蝶和蚱蜢的夏季图案装饰在白色茎蔬菜的茂密绿叶中。
3708,14,碟子,Saucer,1796-1820,27.0,Containers,Porcelain with overglaze enamel decoration (Famille rose),Porcelain with overglaze enamel decoration (Famille rose),1 1/8 x 6 1/16 inches (2.9 x 15.4 cm),3,,https://www.philamuseum.org/collection/object/37628,"https://iiif.micr.io/LdviG/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37628,2026-06-01,,2026-06-01,2026-06-01,釉上搪瓷装饰瓷器（粉彩玫瑰）,容器,釉上搪瓷装饰瓷器（粉彩玫瑰）
3591,15,碟子,Saucer,1796-1820,27.0,Containers,Porcelain with overglaze enamel decoration (Famille rose),Porcelain with overglaze enamel decoration (Famille rose),1 1/8 x 6 1/16 inches (2.9 x 15.4 cm),3,,https://www.philamuseum.org/collection/object/37629,"https://iiif.micr.io/BnAqN/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37629,2026-06-01,,2026-06-01,2026-06-01,釉上搪瓷装饰瓷器（粉彩玫瑰）,容器,釉上搪瓷装饰瓷器（粉彩玫瑰）
4954,16,古代青铜制花瓶,Vase in the form of an Archaic Bronze Vessel,19th century,27.0,Containers,Porcelain with turquoise blue glaze; monochrome,Porcelain with turquoise blue glaze; monochrome,10 1/4 x 5 7/8 inches (26 x 15 cm),3,,https://www.philamuseum.org/collection/object/37633,"https://iiif.micr.io/uJnKo/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37633,2026-06-01,,2026-06-01,2026-06-01,绿松石蓝釉瓷器；单色,容器,绿松石蓝釉瓷器；单色
4400,17,墙花瓶（平）,Wall Vase (P'ing),1736-1795,27.0,Containers,Porcelain with overglaze enamel and gilt designs,Porcelain with overglaze enamel and gilt designs,8 1/8 x 3 3/4 inches (20.6 x 9.5 cm),3,,https://www.philamuseum.org/collection/object/37636,"https://iiif.micr.io/nHixb/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37636,2026-06-01,,2026-06-01,2026-06-01,釉上搪瓷和镀金设计的瓷器,容器,釉上搪瓷和镀金设计的瓷器
3709,18,花瓶,Vase,1821-1850,27.0,Containers,Porcelain with white glaze (Dehua ware),Porcelain with white glaze (Dehua ware),4 5/8 x 2 11/16 inches (11.7 x 6.8 cm),3,,https://www.philamuseum.org/collection/object/37642,"https://iiif.micr.io/tcCSr/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37642,2026-06-01,,2026-06-01,2026-06-01,白釉瓷器（德化瓷）,容器,白釉瓷器（德化瓷）
3955,19,花瓶（平）,Vase (P'ing),1736-1795,27.0,Containers,Glazed porcelain,Glazed porcelain,14 5/8 x 9 inches (37.1 x 22.9 cm),3,,https://www.philamuseum.org/collection/object/37644,"https://iiif.micr.io/qsbNM/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37644,2026-06-01,,2026-06-01,2026-06-01,玻璃瓷,容器,玻璃瓷
3369,20,花瓶,Vase,1736-1795,27.0,Containers,Glazed porcelain (White ware),Glazed porcelain (White ware),9 1/8 inches (23.2 cm),3,,https://www.philamuseum.org/collection/object/37649,"https://iiif.micr.io/Gpuwo/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37649,2026-06-01,,2026-06-01,2026-06-01,釉面瓷器（白色瓷器）,容器,釉面瓷器（白色瓷器）
3487,21,花瓶,Vase,1662-1722,27.0,Containers,"Glazed porcelain, monochrome","Glazed porcelain, monochrome",9 7/8 x 5 3/8 inches (25.1 x 13.6 cm),3,,https://www.philamuseum.org/collection/object/37652,"https://iiif.micr.io/ICXSr/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37652,2026-06-01,,2026-06-01,2026-06-01,单色釉面瓷器,容器,单色釉面瓷器
3370,22,花瓶,Vase,1821-1850,27.0,Containers,"Glazed porcelain, monochrome","Glazed porcelain, monochrome",8 x 9 1/8 inches (20.3 x 23.1 cm),3,,https://www.philamuseum.org/collection/object/37653,"https://iiif.micr.io/pgPfO/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37653,2026-06-01,,2026-06-01,2026-06-01,单色釉面瓷器,容器,单色釉面瓷器
4448,23,青铜形状容器,Bronze-Form Vessel,1821-1850,27.0,Containers,Porcelain,Porcelain,2 7/8 x 4 7/8 inches (7.3 x 12.4 cm),3,,https://www.philamuseum.org/collection/object/37656,"https://iiif.micr.io/HIiax/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37656,2026-06-01,,2026-06-01,2026-06-01,瓷器,容器,瓷器
3831,24,花瓶,Vase,1662-1722,27.0,Containers,Porcelain,Porcelain,6 1/8 x 3 1/8 inches (15.6 x 7.9 cm),3,,https://www.philamuseum.org/collection/object/37657,"https://iiif.micr.io/KGZFu/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37657,2026-06-01,,2026-06-01,2026-06-01,瓷器,容器,瓷器
3488,25,花瓶,Vase,1736-1795,27.0,Containers,"Glazed porcelain, monochrome","Glazed porcelain, monochrome",15 1/2 x 10 inches (39.4 x 25.4 cm),3,,https://www.philamuseum.org/collection/object/37664,"https://iiif.micr.io/LtklU/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37664,2026-06-01,,2026-06-01,2026-06-01,单色釉面瓷器,容器,单色釉面瓷器
4644,26,碗和盖子,Bowl and Cover,1821-1850,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,3 9/16 x 4 inches (9 x 10.2 cm),3,,https://www.philamuseum.org/collection/object/37677,"https://iiif.micr.io/TvwvM/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37677,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
1202,27,瓶子,Bottle,18th century,27.0,Containers,Black lacquer inlaid with mother-of-pearl decoration on porcelaineous ware,Black lacquer inlaid with mother-of-pearl decoration on porcelaineous ware,20 3/4 x 9 1/4 inches (52.7 x 23.5 cm),3,,https://www.philamuseum.org/collection/object/37693,"https://iiif.micr.io/NYLAe/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37693,2026-06-01,,2026-06-01,2026-06-01,瓷器上镶嵌珍珠母装饰的黑漆,容器,瓷器上镶嵌珍珠母装饰的黑漆
3712,28,盆地,Basin,1796-1820,27.0,Containers,Porcelain with overglaze enamel design,Porcelain with overglaze enamel design,2 3/4 x 14 1/8 inches (7 x 35.9 cm),3,,https://www.philamuseum.org/collection/object/37707,"https://iiif.micr.io/hSuJY/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37707,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉设计瓷器,容器,釉上瓷釉设计瓷器
3492,29,斑块,Plaque,1662-1722,27.0,Plaques/Reliefs/Tiles,Porcelain with overglaze enamel and gilt design,Porcelain with overglaze enamel and gilt design,2 5/8 x 14 5/8 inches (6.6 x 37.1 cm),3,,https://www.philamuseum.org/collection/object/37711,"https://iiif.micr.io/ezexL/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37711,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金设计的瓷器,牌匾/浮雕/瓷砖,釉上瓷釉和镀金设计的瓷器
3833,30,盘子,Plate,1796-1820,27.0,Containers,Porcelain with overglaze enamels,Porcelain with overglaze enamels,1 1/4 x 8 7/8 inches (3.2 x 22.5 cm),3,,https://www.philamuseum.org/collection/object/37712,"https://iiif.micr.io/wYVwf/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37712,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉瓷器,容器,釉上瓷釉瓷器
950,31,盘子,Plate,Early 19th century,27.0,Containers,Porcelain with overglaze enamel design,Porcelain with overglaze enamel design,1 x 9 1/16 inches (2.6 x 23 cm),3,,https://www.philamuseum.org/collection/object/37714,"https://iiif.micr.io/iTxNE/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37714,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉设计瓷器,容器,釉上瓷釉设计瓷器
714,32,菜肴,Dish,18th century,27.0,Containers,Enamel on copper,Enamel on copper,1 5/8 x 11 7/8 inches (4.2 x 30.1 cm),3,,https://www.philamuseum.org/collection/object/37732,"https://iiif.micr.io/RepPa/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37732,2026-06-01,,2026-06-01,2026-06-01,铜质搪瓷,容器,铜质搪瓷
4581,33,罐子和盖子,Jar and Cover,1821-1850,27.0,Containers,"Porcelain with underglaze design, blue-and-white","Porcelain with underglaze design, blue-and-white",11 x 7 5/16 inches (28 x 18.5 cm),3,,https://www.philamuseum.org/collection/object/37753,"https://iiif.micr.io/VmwMv/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37753,2026-06-01,,2026-06-01,2026-06-01,青花釉下瓷器,容器,青花釉下瓷器
3595,34,碗,Bowl,1796-1820,27.0,Containers,"Porcelain with rice grain pattern and underglaze decoration, blue-and-white","Porcelain with rice grain pattern and underglaze decoration, blue-and-white",3 x 6 7/8 inches (7.6 x 17.5 cm),3,,https://www.philamuseum.org/collection/object/37756,"https://iiif.micr.io/RfbxE/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37756,2026-06-01,,2026-06-01,2026-06-01,青花米纹釉下彩瓷,容器,青花米纹釉下彩瓷
5217,35,碗-八仙过海,Bowl - Eight Immortals Crossing the Sea,1821-1850,27.0,Containers,Porcelain with underglaze cobalt blue decoration,Porcelain with underglaze cobalt blue decoration,2 3/8 x 5 1/2 inches (6 x 14 cm),3,,https://www.philamuseum.org/collection/object/37757,"https://iiif.micr.io/CqilQ/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37757,2026-06-01,,2026-06-01,2026-06-01,釉下钴蓝色装饰瓷器,容器,釉下钴蓝色装饰瓷器
136,36,盘子,Plate,c. 1740,27.0,Containers,Hard-paste porcelain with enamel and gilt decoration,"Part of a dinner service, this plate bears the coat of arms of Anders Bachmansson (1697–1772), who was ennobled under the name Nordencrantz in 1743. Bachmansson was a trade councilor and factory owner. Decorative elements in the border—rods, anvils, waterwheels, and furnaces—make reference to his profession; the shell and bees are taken from his coat of arms; and the bear is from his crest.",Diameter: 9 1/16 inches (23 cm),3,,https://www.philamuseum.org/collection/object/37760,"https://iiif.micr.io/mgPlH/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37760,2026-06-01,,2026-06-01,2026-06-01,搪瓷镀金硬瓷,容器,作为晚餐服务的一部分，这个盘子上有安德斯·巴赫曼森（1697-1772）的徽章，他于1743年以诺登朗茨的名义被授予爵位。巴赫曼森是一名贸易委员和工厂主。边框上的装饰元素——杆子、铁砧、水车和炉子——都与他的职业有关；贝壳和蜜蜂都是从他的纹章上取下来的；熊是从它的头顶上长出来的。
3373,37,盘子,Plate,1796-1820,27.0,Containers,Porcelain with overglaze enamel and gilt design,Porcelain with overglaze enamel and gilt design,Width: 8 13/16 inches (22.4 cm),3,,https://www.philamuseum.org/collection/object/37762,"https://iiif.micr.io/wyWnY/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37762,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金设计的瓷器,容器,釉上瓷釉和镀金设计的瓷器
3713,38,盘子,Plate,1796-1820,27.0,Containers,Porcelain with overglaze enamel and gilt design,Porcelain with overglaze enamel and gilt design,Width: 8 13/16 inches (22.4 cm),3,,https://www.philamuseum.org/collection/object/37763,"https://iiif.micr.io/UQJZy/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37763,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金设计的瓷器,容器,釉上瓷釉和镀金设计的瓷器
42,39,盘子,Platter,c. 1760,27.0,Containers,Hard-paste porcelain with underglaze blue decoration,"This platter was made for the Grill family, whose heraldic device was the stork.",1 3/4 × 15 7/8 inches (4.4 × 40.3 cm),3,,https://www.philamuseum.org/collection/object/37773,"https://iiif.micr.io/rbmuv/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1882",37773,2026-06-01,,2026-06-01,2026-06-01,釉下蓝饰硬质瓷,容器,这个盘子是为Grill家族制作的，他们的纹章是鹳。
952,40,花瓶,Vase,18th century,27.0,Containers,Stoneware (Yixing ware),Stoneware (Yixing ware),13 x 7 5/8 inches (33 x 19.4 cm),3,,https://www.philamuseum.org/collection/object/37996,"https://iiif.micr.io/jvxBV/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",37996,2026-06-01,,2026-06-01,2026-06-01,石器（宜兴瓷）,容器,石器（宜兴瓷）
3836,41,花瓶,Vase,1662-1722,27.0,Containers,Porcelain with underglaze blue decoration,Porcelain with underglaze blue decoration,4 5/16 x 2 3/16 inches (11 x 5.5 cm),3,,https://www.philamuseum.org/collection/object/37997,"https://iiif.micr.io/vxsPK/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",37997,2026-06-01,,2026-06-01,2026-06-01,釉下蓝色装饰瓷器,容器,釉下蓝色装饰瓷器
3596,42,茶壶,Teapot,1736-1795,27.0,Containers,Porcelain with overglaze enamel and gilt decoration,Porcelain with overglaze enamel and gilt decoration,4 3/4 x 6 11/16 inches (12 x 17 cm),3,,https://www.philamuseum.org/collection/object/38000,"https://iiif.micr.io/BzoaD/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38000,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉和镀金装饰的瓷器,容器,釉上瓷釉和镀金装饰的瓷器
4510,43,花瓶,Vase,1662-1722 or later,27.0,Containers,Glazed porcelain,Glazed porcelain,5 1/4 x 2 3/4 inches (13.3 x 7 cm),3,,https://www.philamuseum.org/collection/object/38002,"https://iiif.micr.io/zdzTc/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38002,2026-06-01,,2026-06-01,2026-06-01,玻璃瓷,容器,玻璃瓷
953,44,花瓶,Vase,18th - 19th century,27.0,Containers,Porcelaineous ware with flambé glaze,Porcelaineous ware with flambé glaze,6 15/16 x 4 3/4 inches (17.7 x 12 cm),3,,https://www.philamuseum.org/collection/object/38006,"https://iiif.micr.io/DtbcQ/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38006,2026-06-01,,2026-06-01,2026-06-01,红釉瓷器,容器,红釉瓷器
5427,45,《三国演义》中的板块场景,Plate - Scene from Romance of the Three Kingdoms,1662-1722,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,Diameter: 10 7/16 inches (26.5 cm),3,,https://www.philamuseum.org/collection/object/38032,"https://iiif.micr.io/kFTrv/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38032,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
3374,46,盘子,Plate,1796-1820,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,Width: 8 3/4 inches (22.2 cm),3,,https://www.philamuseum.org/collection/object/38034,"https://iiif.micr.io/hLCZq/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38034,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
5268,47,碗-八仙过海,Bowl - Eight Immortals Crossing the Sea,1662-1722,27.0,Containers,Porcelain with underglaze cobalt blue decoration,Porcelain with underglaze cobalt blue decoration,2 3/8 x 6 3/16 inches (6.1 x 15.7 cm),3,,https://www.philamuseum.org/collection/object/38035,"https://iiif.micr.io/epoQy/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38035,2026-06-01,,2026-06-01,2026-06-01,釉下钴蓝色装饰瓷器,容器,釉下钴蓝色装饰瓷器
4909,48,水壶和盖子,Water Pot and Cover,1662-1722,27.0,Containers,"Glazed porcelain, monochrome","Glazed porcelain, monochrome",2 5/8 x 4 13/16 inches (6.7 x 12.2 cm),3,,https://www.philamuseum.org/collection/object/38037,"https://iiif.micr.io/CCBdM/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38037,2026-06-01,,2026-06-01,2026-06-01,单色釉面瓷器,容器,单色釉面瓷器
2816,49,胡形花瓶,Hu-Form Vase,18th century,27.0,Containers,"Glazed porcelain, monochrome","Glazed porcelain, monochrome",7 5/16 × 3 15/16 × 3 1/16 inches (18.5 × 10 × 7.8 cm),3,,https://www.philamuseum.org/collection/object/38039,"https://iiif.micr.io/HbuYE/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38039,2026-06-01,,2026-06-01,2026-06-01,单色釉面瓷器,容器,单色釉面瓷器
954,50,花瓶,Vase,19th century,27.0,Containers,Porcelain with overglaze enamel decoration,Porcelain with overglaze enamel decoration,6 15/16 x 3 7/8 inches (17.7 x 9.8 cm),3,,https://www.philamuseum.org/collection/object/38040,"https://iiif.micr.io/AdnTD/full/^300,/0/default.jpg",,"Gift of Dr. Francis W. Lewis, 1893",38040,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉装饰瓷器,容器,釉上瓷釉装饰瓷器
2744,51,花瓶,Vase,1644-1911,27.0,Containers,Bronze,Bronze,11 × 5 1/2 inches (28 × 14 cm),3,,https://www.philamuseum.org/collection/object/38201,"https://iiif.micr.io/oensQ/full/^300,/0/default.jpg",,"The General Hector Tyndale Memorial Collection, 1897",38201,2026-06-01,,2026-06-01,2026-06-01,青铜,容器,青铜
2660,52,花瓶,Vase,18th or 19th century,27.0,Containers,Glazed porcelain (White ware),Glazed porcelain (White ware),10 3/16 x 3 1/4 inches (25.9 x 8.3 cm),3,,https://www.philamuseum.org/collection/object/38202,"https://iiif.micr.io/NWEkK/full/^300,/0/default.jpg",,"The General Hector Tyndale Memorial Collection, 1897",38202,2026-06-01,,2026-06-01,2026-06-01,釉面瓷器（白色瓷器）,容器,釉面瓷器（白色瓷器）
4060,53,盖花瓶,Covered Vase,1821-1850,27.0,Containers,Porcelain with overglaze enamel and gilding,Porcelain with overglaze enamel and gilding,24 x 15 1/4 inches (61 x 38.7 cm),3,,https://www.philamuseum.org/collection/object/38219,"https://iiif.micr.io/OCviG/full/^300,/0/default.jpg",,"Purchased with the Joseph E. Temple Fund, 1898",38219,2026-06-01,,2026-06-01,2026-06-01,上釉和镀金瓷器,容器,上釉和镀金瓷器
3207,54,鼻烟壶,Snuff Bottle,1770-1820,27.0,Containers,Reticulated porcelain with glazed and gilt decoration; porcelain stopper with gilded metal spoon,Reticulated porcelain with glazed and gilt decoration; porcelain stopper with gilded metal spoon,3 3/8 x 1 3/4 inches (8.6 x 4.4 cm),3,,https://www.philamuseum.org/collection/object/38226,"https://iiif.micr.io/RdiSK/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1899",38226,2026-06-01,,2026-06-01,2026-06-01,有釉面和镀金装饰的网状瓷器；镀金金属勺瓷塞,容器,有釉面和镀金装饰的网状瓷器；镀金金属勺瓷塞
4401,55,杯子和盖子,Cup and Cover,1821-1850,27.0,Containers,Porcelain with overglaze polychrome enamels,Porcelain with overglaze polychrome enamels,"Width: 3 9/16 inches (9.1 cm)
Cover: 3 1/8 x 3 3/16 inches (7.9 x 8.1 cm)",3,,https://www.philamuseum.org/collection/object/38230,"https://iiif.micr.io/ASAMW/full/^300,/0/default.jpg",,"Purchased with the Joseph E. Temple Fund, 1899",38230,2026-06-01,,2026-06-01,2026-06-01,釉上彩釉瓷器,容器,釉上彩釉瓷器
3375,56,盘子,Plate,1796-1820,27.0,Containers,Porcelain with overglaze enamel design,Porcelain with overglaze enamel design,13/16 x 8 11/16 inches (2 x 22 cm),3,,https://www.philamuseum.org/collection/object/38232,"https://iiif.micr.io/pOQeM/full/^300,/0/default.jpg",,"The Bloomfield Moore Collection, 1899",38232,2026-06-01,,2026-06-01,2026-06-01,釉上瓷釉设计瓷器,容器,釉上瓷釉设计瓷器
