object_id,title_zh,title_en,material,type,image_url,museum_id,dynasty_id,dynasty_name
5557,有喝茶场景的Lobed盒子,Lobed box with a scene of tea drinking,剔红,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73611/preview,2,26,明朝
5558,月下梅枝托盘,Tray depicting plum branch under the moon,镶嵌珍珠母漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/65670/preview,2,25,元朝
5559,化妆品盒,Cosmetic box,棕色漆面，白镴镶边，珍珠母镶嵌,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/66084/preview,2,25,元朝
5560,野餐盒,Picnic box,红漆木和竹子上的金漆，上面有合股打结的丝线,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/65931/preview,2,27,清朝
5561,瓶形花瓶,Bottle-shaped vase,剔红,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/65877/preview,2,27,清朝
5562,乾隆题诗盖杯,Lidded cup with inscribed poetry by Emperor Qianlong,木雕漆器，雕刻装饰，镶嵌黄金,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/46809/preview,2,27,清朝
5563,写作时使用的手腕休息,Wrist rest used while writing,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/22392/preview,2,28,中华民国
5564,一套六枚戒指，带雕刻木箱,Set of six rings with carved wood case,软玉戒指，红檀木表壳，镶嵌金银,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20842/preview,2,27,清朝
5565,鸟和秋叶,Bird and Autumn Leaves,纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/1919/preview,2,28,中华民国
5566,陶渊明采菊花,Tao Yuanming Picking Chrysanthemums,纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/2451/preview,2,28,中华民国
5567,化妆品盒套装,Cosmetics box set,银箔木板漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/59678/preview,2,9,东汉
5568,菩萨Ashvaghosha（Memyo），选自卷轴集《肖像画选集》（Zuzosho）,"The bodhisattva Ashvaghosha (Memyo), from the scroll set Selections of Iconographic Drawings (Zuzosho)",纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/21875/preview,2,21,宋朝
5569,山大师的生活（Koya daishi gyojo-zue），卷4,"Life of the Great Master of Mount Koya (Koya daishi gyojo-zue), volume 4",纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/53497/preview,2,21,宋朝
5570,格鲁派喇嘛,A lama of the Gelug Order,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/73683/preview,2,27,清朝
5571,雕刻图案的带柄杯,Stemmed cup with carved patterns,漆和金属镀金,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/75246/preview,2,27,清朝
5572,彩绘装饰的叶形盒子,Lobed box with painted decoration,用颜料在木头上涂漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/66060/preview,2,25,元朝
5573,带有景观设计的矩形托盘,Rectangular tray with landscape design,镶嵌珍珠母漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/75360/preview,2,26,明朝
5574,方形托盘,Square tray,涂有红、黄、绿、金的黑漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/66354/preview,2,25,元朝
5575,带叶子的六角形盘子,Foliated hexagonal dish,雕刻大理石漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/65547/preview,2,25,元朝
5576,折扇,Folding fan,纸上的漆、颜料和贴花,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/66246/preview,2,27,清朝
5577,渔夫、鹬和蛤蜊,"Fisherman, snipe and, clam",象牙,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/30636/preview,2,28,中华民国
5578,带盖容器,Lidded container,金和镀金银镶嵌镍合金,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/7960/preview,2,27,清朝
5579,拉玛五世（朱拉隆功）字母组合茶壶,Teapot with the monogram of Rama V (Chulalongkorn),青花瓷；手柄：铜合金,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/8439/preview,2,27,清朝
5580,印有拉玛五世（朱拉隆功）字母组合的盖瓶,Lidded bottle with monogram of Rama V (Chulalongkorn),青花瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/8442/preview,2,27,清朝
5581,印有拉玛五世（朱拉隆功）字母组合的盖瓶,Lidded bottle with monogram of Rama V (Chulalongkorn),青花瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/8444/preview,2,27,清朝
5582,槟榔套中的带盖容器,Lidded container from a betel set,银和金镶嵌宝石和珐琅,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/47147/preview,2,27,清朝
5583,槟榔套中的带盖容器,Lidded container from a betel set,银和金镶嵌宝石和珐琅,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/47152/preview,2,27,清朝
5584,槟榔套中的带盖容器,Lidded container from a betel set,银和金镶嵌宝石和珐琅,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/47157/preview,2,27,清朝
5585,中秋节,Mid-Autumn Festival,纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/69477/preview,2,28,中华民国
5586,古代Tibet国王,An ancient king of Tibet,镀金铜,雕塑,https://searchcollection.asianart.org/internal/media/dispatcher/4889/preview,2,27,清朝
5587,驴子,Donkeys,水墨纸本,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/6021/preview,2,28,中华民国
5588,Bon节日,Bon Festival,纸上的墨水和颜色,印刷品和图纸,https://searchcollection.asianart.org/internal/media/dispatcher/6083/preview,2,27,清朝
5589,悬挂花卉图案,Hanging with floral design,真丝天鹅绒配金线纬纱,纺织品,https://searchcollection.asianart.org/internal/media/dispatcher/7741/preview,2,27,清朝
5590,八角星设计的菜肴,Dish with eight-pointed star design,彩绘和切割釉下装饰的陶器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/8825/preview,2,27,清朝
5591,明月下的苗族妇女-II,Miao (Hmong) Women in Bright Moon - II,木版印刷，纸上的油基油墨,印刷品和图纸,https://searchcollection.asianart.org/internal/media/dispatcher/61356/preview,2,28,中华民国
5592,树冠的碎片,Fragment of a canopy,彩绘媒染剂和抗染棉,纺织品,https://searchcollection.asianart.org/internal/media/dispatcher/64152/preview,2,27,清朝
5593,春天,Spring,布面油画,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66007/preview,2,28,中华民国
5594,无题，第25号,"Untitled, No. 25",明胶银印,摄影,https://searchcollection.asianart.org/internal/media/dispatcher/60175/preview,2,28,中华民国
5595,人工仙境#1,Artificial Wonderland #1,铝上的颜料喷墨打印,摄影,https://searchcollection.asianart.org/internal/media/dispatcher/37803/preview,2,28,中华民国
5596,以月亮和梅花为主题的菜肴,Dish with moon and plum blossoms motif,镶嵌珍珠母的漆纸,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/39734/preview,2,27,清朝
5597,莲花圈/莲花女神,Lotus Circle/Lotus Goddess,安装在船上的水彩和混合介质,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/65586/preview,2,28,中华民国
5598,形象摘要,Figurative Abstract,纸上的混合介质安装在船上,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66151/preview,2,28,中华民国
5599,莲花/莲花经,Lotus/Lotus Sutra,抹布上的混合介质,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66148/preview,2,28,中华民国
5600,莲花女神,Lotus Goddess,纸上水彩和混合介质,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66196/preview,2,28,中华民国
5601,莲花,Lotus,纸上水彩,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66184/preview,2,28,中华民国
5602,Mayacamas IV，4/10/63，俾斯麦马鞍,"Mayacamas IV, 4/10/63, Bismark Saddle",布面油画,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66240/preview,2,28,中华民国
5603,蓝山2号,"Blue Mountain, No. 2",布面油画,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/65680/preview,2,28,中华民国
5604,鼻烟壶,Snuff bottle,镶嵌皂石、珍珠和贝壳的漆器,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/75253/preview,2,27,清朝
5605,女式半正式外套,Woman's semiformal coat,用丝绸和金属包线刺绣的丝绸；丝绸镶边和衬里,纺织品,https://searchcollection.asianart.org/internal/media/dispatcher/11/preview,2,27,清朝
5606,女子半正式长袍，有男孩玩耍的场景,Woman’s semiformal robe with scenes of boys at play,缎面丝绸刺绣,纺织品,https://searchcollection.asianart.org/internal/media/dispatcher/69199/preview,2,27,清朝
5607,深山冥想,Meditation in Deep Mountains,丝绸上的墨水,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/55451/preview,2,27,清朝
5608,神秘岛,Mystic isle,皂石,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/28175/preview,2,27,清朝
5609,神仙情景长方形花盆,Rectangular flower pot with scene of immortals,雕刻多色漆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/70080/preview,2,27,清朝
5610,带有花卉卷轴设计的菜肴,Dish with design of floral scrolls,带有切割和釉下蓝色和釉上多色装饰的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/9906/preview,2,27,清朝
5611,男孩玩蟋蟀,Boys Playing with Crickets,丝绸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/61352/preview,2,27,清朝
5612,暖手器,Hand warmer,带开口的铜合金,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/32025/preview,2,26,明朝
5613,半草书诗,Poem in Semicursive Script,丝绸上的墨水,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/49284/preview,2,26,明朝
5614,仪式钟（钟）,Ritual bell (zhong),镀金青铜,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/63029/preview,2,27,清朝
5615,珠子,Beads,陶器上的玻璃浆,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/28409/preview,2,4,东周
5616,大智禅（大智禅）,Da Zhi Chan Shi (Ta-Chih Ch’an-Shih),水墨纸本,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27345/preview,2,28,中华民国
5617,带有神话动物的香炉,Incense burner with mythical animals,玫瑰石英,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/23115/preview,2,28,中华民国
5618,带动物口罩的瓶子,Bottle with animal masks,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/28188/preview,2,27,清朝
5619,椅子，一对中的一把,"Chair, one of a pair",红木,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/23593/preview,2,26,明朝
5620,椅子，一对中的一把,"Chair, one of a pair",红木,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/23594/preview,2,26,明朝
5621,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27891/preview,2,28,中华民国
5622,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27893/preview,2,28,中华民国
5623,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27895/preview,2,28,中华民国
5624,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27897/preview,2,28,中华民国
5625,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27899/preview,2,28,中华民国
5626,工艺设置,Process set,铜上烧制的搪瓷,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/27901/preview,2,28,中华民国
5627,朦胧的风景,Misty Landscapes,纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/66834/preview,2,26,明朝
5628,关于天后和她的奇迹的故事——2：不朽,Stories About Deity Tianhou and Her Miracles–2: Immortalization,纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/63827/preview,2,27,清朝
5629,守护者佩哈尔献上祭品,The guardian Pehar with offerings,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27968/preview,2,27,清朝
5630,佛教神金刚乘,The Buddhist deity Vajrabhairava,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27331/preview,2,27,清朝
5631,宗喀巴喇嘛,The lama Tsongkhapa,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27321/preview,2,27,清朝
5632,守护王瓦伊什拉瓦纳,The guardian king Vaishravana,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27329/preview,2,27,清朝
5633,格鲁派教义的传播,The transmission of the teachings of the Gelugpa Sect,棉花上的墨水、颜色和金色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/27343/preview,2,27,清朝
5634,观世音菩萨曼荼罗,A Mandala of the Bodhisattva Avalokiteshvara,棉花上的颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/65663/preview,2,27,清朝
5635,五只麻雀衬里的男式浩里夹克,Man's haori jacket with five sparrows lining,双伊卡特丝绸pongee；真丝扎染与手绘墨彩,纺织品,https://searchcollection.asianart.org/internal/media/dispatcher/10964/preview,2,27,清朝
5636,光山绿水，云雾缭绕,"Luminous Mountains, Cloudy Shadows",纸上的墨水和颜色,绘画,https://searchcollection.asianart.org/internal/media/dispatcher/311/preview,2,28,中华民国
5637,梅花杯,Cup with plum blossom,带装饰和白釉的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/70/preview,2,26,明朝
5638,两只躺着的马和猴子,Two reclining horses with monkey,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/23436/preview,2,27,清朝
5639,印有男孩在院子里玩耍的鼻烟瓶,Snuff bottle with a depiction of boys playing in courtyard,釉下蓝色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/24135/preview,2,27,清朝
5640,寺庙印章,Temple seal,釉下蓝色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/24146/preview,2,27,清朝
5641,外国使节列队入场,Bowl with procession of foreign envoys,釉下蓝色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/24168/preview,2,27,清朝
5642,船形杯架,Boat-shaped cup stand,釉下蓝色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/24254/preview,2,27,清朝
5643,云中龙纹罐,Jar with design of dragons amid clouds,釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17548/preview,2,26,明朝
5644,深盘,Deep plate,黄釉瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17768/preview,2,26,明朝
5645,龙形装饰品,Ornament in the shape of a dragon,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14880/preview,2,4,东周
5646,龙形吊坠,Dragon-shaped pendant,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14884/preview,2,4,东周
5647,两个龙头设计的吊坠,Pendant with a design of two dragon heads,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14886/preview,2,4,东周
5648,狭缝盘（jue）,Slit disk (jue),软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14982/preview,2,4,东周
5649,带有云设计的凹槽盘,Notched disk with a design of clouds,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15007/preview,2,27,清朝
5650,椭圆形斑块,Oval plaque,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15008/preview,2,4,东周
5651,剑柄,Sword pommel,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15011/preview,2,7,汉朝
5652,带有云设计的凹槽盘,Notched disk with a design of clouds,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15015/preview,2,4,东周
5653,分面磁盘,Faceted disk,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15117/preview,2,4,东周
5654,带有云设计的狭缝盘,Slit disk with a design of clouds,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15154/preview,2,4,东周
5655,拇指戒,Thumb ring,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/15273/preview,2,28,中华民国
5656,古式配剑,Sword fitting in an ancient style,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20669/preview,2,27,清朝
5657,人形装饰品,Ornament in the shape of a human figure,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/27663/preview,2,27,清朝
5658,雕漆碗,Carved lacquer bowl,雕刻大理石漆，镀银铜碗和脚衬。,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/72247/preview,2,27,清朝
5659,大蒜球茎形状的瓶口花瓶,Vase with mouth in the shape of a garlic bulb,釉下蓝和釉上多色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16270/preview,2,26,明朝
5660,狮子花盆,Basin with lion and flowers,带有多色珐琅装饰的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16642/preview,2,26,明朝
5661,有盖的盒子，描绘风景中的人物,Lidded box depicting figures in landscape,釉下蓝和釉上多色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16653/preview,2,26,明朝
5662,仙岛上有鹿的大型深盘,Large deep plate with deer in immortal isles,釉下蓝色装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17073/preview,2,26,明朝
5663,释迦牟尼佛,The Buddha Shakyamuni,三色釉石器,雕塑,https://searchcollection.asianart.org/internal/media/dispatcher/17095/preview,2,26,明朝
5664,带有两个凸起圆圈的碗,Bowl with two raised circles,瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17157/preview,2,27,清朝
5665,碗上画着九条龙，一对中的一条,"Bowl with a depiction of nine dragons, one of a pair",釉下蓝、釉上红装饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17278/preview,2,26,明朝
5666,公鸡,Rooster,绿铅釉低烧陶瓷,雕塑,https://searchcollection.asianart.org/internal/media/dispatcher/29334/preview,2,9,东汉
5667,带有莲花脊的罐子,Jar with lotus ridges,釉面有裂纹的高温陶瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/21425/preview,2,13,北朝
5668,杯子，一对中的一个,"Cup, one of a pair",白釉下模压装饰的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/18595/preview,2,27,清朝
5669,杯子，一对中的一个,"Cup, one of a pair",白釉下模压装饰的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/18597/preview,2,27,清朝
5670,带有花卉图案的盘子,Plate with flower design,釉下有雕刻装饰的瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/18632/preview,2,26,明朝
5671,仪式器皿（一套三件中的一件）,Ritual vessel (one of a set of three),釉面瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16228/preview,2,27,清朝
5672,带有许愿棒的花瓶,Vase with wish-granting wands,釉上彩瓷,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/16233/preview,2,27,清朝
5673,花中有龙的碗,Bowl with dragons amid flowers,彩釉内外饰瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17450/preview,2,27,清朝
5674,碗与十八罗汉,Bowl with the eighteen luohans,彩瓷装饰,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17581/preview,2,27,清朝
5675,牡丹竹制笔架,Brush holder with peony and bamboo,浅浮雕无釉瓷器,陶瓷,https://searchcollection.asianart.org/internal/media/dispatcher/17656/preview,2,28,中华民国
5676,鲶鱼,Catfish,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14375/preview,2,27,清朝
5677,坐着的骆驼,Seated camel,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14380/preview,2,28,中华民国
5678,灵芝蘑菇和鲜花容器,Vessel with lingzhi mushrooms and flowers,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14445/preview,2,28,中华民国
5679,古代青铜制容器，带兽形手柄,Vessel in an ancient bronze form with beast-shaped handles,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14449/preview,2,28,中华民国
5680,龙柄六角形碗,Hexagonal bowl with dragon handles,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14452/preview,2,28,中华民国
5681,带有经典铭文的碗,Bowl with classical inscriptions,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14455/preview,2,27,清朝
5682,船舶（志）,Vessel (zhi),软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14494/preview,2,27,清朝
5683,开放式花朵香炉,Incense burner with openwork flowers,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14518/preview,2,28,中华民国
5684,山上采集菌类的神仙,Immortals collecting fungus in the mountain,青金石,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14521/preview,2,27,清朝
5685,带有两个方形把手的杯子,Cup with two square handles,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/14574/preview,2,27,清朝
5686,麒麟带来玉书,Qilin bringing the jade book,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20606/preview,2,27,清朝
5687,龙头皮带钩,Belt hook with a dragon head,软玉,玉石与石头,https://searchcollection.asianart.org/internal/media/dispatcher/20663/preview,2,27,清朝
5688,带有甜瓜卷轴的圆形盘子,Round plate with melon scrolls,剔红,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73892/preview,2,25,元朝
5689,带有绘画故事场景的矩形盒子,Rectangular box with a painted story scene,木材、竹子、藤条和漆器,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73617/preview,2,27,清朝
5690,在风景中用数字覆盖的母羊,Covered ewer with figures in a landscape,黑漆，镶嵌珍珠母和金属芯,金属艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73179/preview,2,27,清朝
5691,风景中人物场景的盒子,Box with scenes of figures in landscape,黑色漆面，带骨镶嵌，内衬黄色丝绸，金属锁和锁板,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/71128/preview,2,26,明朝
5692,带漆柄的漆刷,Paint brush with lacquer stem,黑漆手柄，镶嵌珍珠母,装饰艺术,https://searchcollection.asianart.org/internal/media/dispatcher/73148/preview,2,27,清朝
